GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web-service,com.example.webservice.model.model,ClientRequestDTO,56,68,15,7,0,5,13,8,2,8
web-service,com.example.webservice.model.model,ListingRequestDTO,251,45,54,0,1,8,32,13,5,13
web-service,com.example.webservice.model.model,FacilityRequestDTO,151,115,29,13,1,8,24,15,3,15
web-service,com.example.webservice,WebServiceApplication,5,3,0,0,2,1,1,1,1,1
web-service,com.example.webservice.model,Facility.FacilityBuilder,81,0,0,0,1,0,11,0,11,0
web-service,com.example.webservice.model,Client,33,20,0,0,2,5,4,6,4,6
web-service,com.example.webservice.model,Client.ClientBuilder,36,0,0,0,1,0,6,0,6,0
web-service,com.example.webservice.model,Listing,0,59,0,0,0,14,0,17,0,17
web-service,com.example.webservice.model,Facility,59,59,0,0,2,10,3,17,3,17
web-service,com.example.webservice.model.type,ClientType,0,69,0,8,0,11,0,7,0,3
web-service,com.example.webservice.exception,InvalidClientIDOrAuthException,13,0,0,0,6,0,3,0,3,0
web-service,com.example.webservice.exception,InvalidTokenException,13,0,0,0,6,0,3,0,3,0
web-service,com.example.webservice.controller,ListingController,59,99,10,8,13,21,8,10,1,8
web-service,com.example.webservice.controller,HelloController,2,3,0,0,1,1,1,1,1,1
web-service,com.example.webservice.controller,ClientController,0,50,0,2,0,16,0,4,0,3
web-service,com.example.webservice.controller,FacilityController,42,154,0,8,14,34,0,11,0,7
web-service,com.example.webservice.service,FacilityService,122,217,20,12,18,51,17,12,3,10
web-service,com.example.webservice.service,ClientService,61,73,5,3,13,18,5,6,2,5
web-service,com.example.webservice.service,ListingService,91,271,10,12,15,58,14,13,5,11
